Date,Open,High,Low,Close,Adj Close,Volume
1996-05-14,16.480000,16.480000,16.480000,16.480000,10.648650,0
1996-05-15,16.480000,16.480000,16.480000,16.480000,10.648650,0
1996-05-16,16.490000,16.490000,16.490000,16.490000,10.655113,0
1996-05-17,16.580000,16.580000,16.580000,16.580000,10.713264,0
1996-05-20,16.680000,16.680000,16.680000,16.680000,10.777882,0
1996-05-21,16.670000,16.670000,16.670000,16.670000,10.771422,0
1996-05-22,16.780001,16.780001,16.780001,16.780001,10.842494,0
1996-05-23,16.740000,16.740000,16.740000,16.740000,10.816652,0
1996-05-24,16.780001,16.780001,16.780001,16.780001,10.842494,0
1996-05-28,16.629999,16.629999,16.629999,16.629999,10.745573,0
1996-05-29,16.530001,16.530001,16.530001,16.530001,10.680960,0
1996-05-30,16.620001,16.620001,16.620001,16.620001,10.739113,0
1996-05-31,16.590000,16.590000,16.590000,16.590000,10.719728,0
1996-06-03,16.549999,16.549999,16.549999,16.549999,10.693884,0
1996-06-04,16.660000,16.660000,16.660000,16.660000,10.764956,0
1996-06-05,16.790001,16.790001,16.790001,16.790001,10.848960,0
1996-06-06,16.660000,16.660000,16.660000,16.660000,10.764956,0
1996-06-07,16.629999,16.629999,16.629999,16.629999,10.745573,0
1996-06-10,16.620001,16.620001,16.620001,16.620001,10.739113,0
1996-06-11,16.600000,16.600000,16.600000,16.600000,10.726187,0
1996-06-12,16.590000,16.590000,16.590000,16.590000,10.719728,0
1996-06-13,16.540001,16.540001,16.540001,16.540001,10.687420,0
1996-06-14,16.480000,16.480000,16.480000,16.480000,10.648650,0
1996-06-17,16.450001,16.450001,16.450001,16.450001,10.629265,0
1996-06-18,16.330000,16.330000,16.330000,16.330000,10.551729,0
1996-06-19,16.309999,16.309999,16.309999,16.309999,10.538803,0
1996-06-20,16.270000,16.270000,16.270000,16.270000,10.512960,0
1996-06-21,16.370001,16.370001,16.370001,16.370001,10.577572,0
1996-06-24,16.410000,16.410000,16.410000,16.410000,10.603419,0
1996-06-25,16.330000,16.330000,16.330000,16.330000,10.590448,0
1996-06-26,16.190001,16.190001,16.190001,16.190001,10.499655,0
1996-06-27,16.290001,16.290001,16.290001,16.290001,10.564511,0
1996-06-28,16.389999,16.389999,16.389999,16.389999,10.629362,0
1996-07-01,16.520000,16.520000,16.520000,16.520000,10.713670,0
1996-07-02,16.480000,16.480000,16.480000,16.480000,10.687726,0
1996-07-03,16.430000,16.430000,16.430000,16.430000,10.655305,0
1996-07-05,16.090000,16.090000,16.090000,16.090000,10.434805,0
1996-07-08,15.960000,15.960000,15.960000,15.960000,10.350490,0
1996-07-09,16.010000,16.010000,16.010000,16.010000,10.382921,0
1996-07-10,15.990000,15.990000,15.990000,15.990000,10.369947,0
1996-07-11,15.700000,15.700000,15.700000,15.700000,10.181873,0
1996-07-12,15.700000,15.700000,15.700000,15.700000,10.181873,0
1996-07-15,15.290000,15.290000,15.290000,15.290000,9.915979,0
1996-07-16,15.210000,15.210000,15.210000,15.210000,9.864098,0
1996-07-17,15.420000,15.420000,15.420000,15.420000,10.000286,0
1996-07-18,15.670000,15.670000,15.670000,15.670000,10.162420,0
1996-07-19,15.550000,15.550000,15.550000,15.550000,10.084598,0
1996-07-22,15.410000,15.410000,15.410000,15.410000,9.993805,0
1996-07-23,15.200000,15.200000,15.200000,15.200000,9.857615,0
1996-07-24,15.160000,15.160000,15.160000,15.160000,9.831674,0
1996-07-25,15.290000,15.290000,15.290000,15.290000,9.915979,0
1996-07-26,15.430000,15.430000,15.430000,15.430000,10.006774,0
1996-07-29,15.320000,15.320000,15.320000,15.320000,9.935437,0
1996-07-30,15.400000,15.400000,15.400000,15.400000,9.987317,0
1996-07-31,15.510000,15.510000,15.510000,15.510000,10.058657,0
1996-08-01,15.750000,15.750000,15.750000,15.750000,10.214304,0
1996-08-02,16.049999,16.049999,16.049999,16.049999,10.408860,0
1996-08-05,16.000000,16.000000,16.000000,16.000000,10.376432,0
1996-08-06,16.049999,16.049999,16.049999,16.049999,10.408860,0
1996-08-07,16.110001,16.110001,16.110001,16.110001,10.447776,0
1996-08-08,16.090000,16.090000,16.090000,16.090000,10.434805,0
1996-08-09,16.049999,16.049999,16.049999,16.049999,10.408860,0
1996-08-12,16.139999,16.139999,16.139999,16.139999,10.467227,0
1996-08-13,16.010000,16.010000,16.010000,16.010000,10.382921,0
1996-08-14,16.080000,16.080000,16.080000,16.080000,10.428315,0
1996-08-15,16.100000,16.100000,16.100000,16.100000,10.441287,0
1996-08-16,16.160000,16.160000,16.160000,16.160000,10.480199,0
1996-08-19,16.180000,16.180000,16.180000,16.180000,10.493169,0
1996-08-20,16.160000,16.160000,16.160000,16.160000,10.480199,0
1996-08-21,16.139999,16.139999,16.139999,16.139999,10.467227,0
1996-08-22,16.290001,16.290001,16.290001,16.290001,10.564511,0
1996-08-23,16.230000,16.230000,16.230000,16.230000,10.525599,0
1996-08-26,16.170000,16.170000,16.170000,16.170000,10.486683,0
1996-08-27,16.240000,16.240000,16.240000,16.240000,10.532083,0
1996-08-28,16.240000,16.240000,16.240000,16.240000,10.532083,0
1996-08-29,16.100000,16.100000,16.100000,16.100000,10.441287,0
1996-08-30,15.990000,15.990000,15.990000,15.990000,10.369947,0
1996-09-03,16.020000,16.020000,16.020000,16.020000,10.389407,0
1996-09-04,16.049999,16.049999,16.049999,16.049999,10.408860,0
1996-09-05,15.900000,15.900000,15.900000,15.900000,10.311579,0
1996-09-06,16.049999,16.049999,16.049999,16.049999,10.408860,0
1996-09-09,16.209999,16.209999,16.209999,16.209999,10.512626,0
1996-09-10,16.219999,16.219999,16.219999,16.219999,10.519110,0
1996-09-11,16.299999,16.299999,16.299999,16.299999,10.570992,0
1996-09-12,16.410000,16.410000,16.410000,16.410000,10.642327,0
1996-09-13,16.620001,16.620001,16.620001,16.620001,10.778525,0
1996-09-16,16.700001,16.700001,16.700001,16.700001,10.830406,0
1996-09-17,16.690001,16.690001,16.690001,16.690001,10.823921,0
1996-09-18,16.650000,16.650000,16.650000,16.650000,10.797979,0
1996-09-19,16.690001,16.690001,16.690001,16.690001,10.823921,0
1996-09-20,16.770000,16.770000,16.770000,16.770000,10.875802,0
1996-09-23,16.750000,16.750000,16.750000,16.750000,10.862830,0
1996-09-24,16.740000,16.740000,16.740000,16.740000,10.856349,0
1996-09-25,16.709999,16.709999,16.709999,16.709999,10.875868,0
1996-09-26,16.740000,16.740000,16.740000,16.740000,10.895399,0
1996-09-27,16.760000,16.760000,16.760000,16.760000,10.908410,0
1996-09-30,16.790001,16.790001,16.790001,16.790001,10.927941,0
1996-10-01,16.799999,16.799999,16.799999,16.799999,10.934445,0
1996-10-02,16.920000,16.920000,16.920000,16.920000,11.012553,0
1996-10-03,16.910000,16.910000,16.910000,16.910000,11.006042,0
1996-10-04,17.090000,17.090000,17.090000,17.090000,11.123195,0
1996-10-07,17.120001,17.120001,17.120001,17.120001,11.142724,0
1996-10-08,17.049999,17.049999,17.049999,17.049999,11.097168,0
1996-10-09,16.969999,16.969999,16.969999,16.969999,11.045092,0
1996-10-10,16.930000,16.930000,16.930000,16.930000,11.019059,0
1996-10-11,17.059999,17.059999,17.059999,17.059999,11.103675,0
1996-10-14,17.129999,17.129999,17.129999,17.129999,11.149231,0
1996-10-15,17.110001,17.110001,17.110001,17.110001,11.136210,0
1996-10-16,17.129999,17.129999,17.129999,17.129999,11.149231,0
1996-10-17,17.180000,17.180000,17.180000,17.180000,11.181773,0
1996-10-18,17.240000,17.240000,17.240000,17.240000,11.220826,0
1996-10-21,17.200001,17.200001,17.200001,17.200001,11.194792,0
1996-10-22,17.090000,17.090000,17.090000,17.090000,11.123195,0
1996-10-23,17.090000,17.090000,17.090000,17.090000,11.123195,0
1996-10-24,17.010000,17.010000,17.010000,17.010000,11.071125,0
1996-10-25,16.980000,16.980000,16.980000,16.980000,11.051601,0
1996-10-28,16.879999,16.879999,16.879999,16.879999,10.986518,0
1996-10-29,16.930000,16.930000,16.930000,16.930000,11.019059,0
1996-10-30,16.920000,16.920000,16.920000,16.920000,11.012553,0
1996-10-31,17.030001,17.030001,17.030001,17.030001,11.084145,0
1996-11-01,17.010000,17.010000,17.010000,17.010000,11.071125,0
1996-11-04,17.059999,17.059999,17.059999,17.059999,11.103675,0
1996-11-05,17.209999,17.209999,17.209999,17.209999,11.201304,0
1996-11-06,17.450001,17.450001,17.450001,17.450001,11.357505,0
1996-11-07,17.530001,17.530001,17.530001,17.530001,11.409581,0
1996-11-08,17.590000,17.590000,17.590000,17.590000,11.448625,0
1996-11-11,17.620001,17.620001,17.620001,17.620001,11.468153,0
1996-11-12,17.590000,17.590000,17.590000,17.590000,11.448625,0
1996-11-13,17.620001,17.620001,17.620001,17.620001,11.468153,0
1996-11-14,17.730000,17.730000,17.730000,17.730000,11.539748,0
1996-11-15,17.750000,17.750000,17.750000,17.750000,11.552765,0
1996-11-18,17.730000,17.730000,17.730000,17.730000,11.539748,0
1996-11-19,17.830000,17.830000,17.830000,17.830000,11.604835,0
1996-11-20,17.879999,17.879999,17.879999,17.879999,11.637379,0
1996-11-21,17.840000,17.840000,17.840000,17.840000,11.611341,0
1996-11-22,17.980000,17.980000,17.980000,17.980000,11.702459,0
1996-11-25,18.170000,18.170000,18.170000,18.170000,11.826130,0
1996-11-26,18.129999,18.129999,18.129999,18.129999,11.800093,0
1996-11-27,18.139999,18.139999,18.139999,18.139999,11.806601,0
1996-11-29,18.190001,18.190001,18.190001,18.190001,11.839146,0
1996-12-02,18.200001,18.200001,18.200001,18.200001,11.845654,0
1996-12-03,18.080000,18.080000,18.080000,18.080000,11.767547,0
1996-12-04,18.020000,18.020000,18.020000,18.020000,11.728500,0
1996-12-05,18.010000,18.010000,18.010000,18.010000,11.721988,0
1996-12-06,17.879999,17.879999,17.879999,17.879999,11.637379,0
1996-12-09,18.129999,18.129999,18.129999,18.129999,11.800093,0
1996-12-10,18.090000,18.090000,18.090000,18.090000,11.774058,0
1996-12-11,17.920000,17.920000,17.920000,17.920000,11.663415,0
1996-12-12,17.700001,17.700001,17.700001,17.700001,11.520224,0
1996-12-13,17.650000,17.650000,17.650000,17.650000,11.487677,0
1996-12-16,17.459999,17.459999,17.459999,17.459999,11.364019,0
1996-12-17,17.549999,17.549999,17.549999,17.549999,11.422591,0
1996-12-18,17.690001,17.690001,17.690001,17.690001,11.513720,0
1996-12-19,17.980000,17.980000,17.980000,17.980000,11.702459,0
1996-12-20,17.840000,17.840000,17.840000,17.840000,11.735354,0
